State ,Year
Mizoram,4/1/2019
MP,4/1/2019
Maharashtra,10/1/2019
Haryana,10/1/2019
Jharkhand,12/1/2019
Haryana,1/1/2020
Odisha,1/1/2020
Sikkim,1/1/2020
Delhi,2/1/2020
Bihar,11/1/2020
TN,4/1/2021
Kerela,4/1/2021
Assam,4/1/2021
Puducherry,4/1/2021
WB,5/1/2021
WB,3/1/2022
Goa,5/1/2022
Manipur,5/1/2022
Punjab,5/1/2022
UP,5/1/2022
Uttarakhand,5/1/2022
Gujarat,1/1/2023
HP,1/1/2023
Nagaland,4/1/2023
Tripura,4/1/2023
Meghalaya,6/1/2023
karnataka,7/1/2023
